All,Wszystko
"Catalog Advanced Search","Zaawansowane wyszukiwanie w sklepie"
"Go to Home Page","Wróć na stronę główną"
Home,"Strona główna"
List,Lista
Name,Nazwa
Price,Cena
"Required Fields","Pola wymagane"
Results,Wyniki
Search,Szukaj
"Search entire store here...","Szukaj w całym sklepie..."
"Search results for '%s'","Wyniki wyszukiwania dla '%s'"
"Search results for: '%s'","Wyniki wyszukiwania dla: '%s'"
"Search Settings","Ustawienia wyszukiwania"
"Search Site","Szukaj na stronie"
"Your search returns no results.","Brak wyników wyszukiwania."
