"%s already exist","%s już istnieje"
"%s already exists","%s już istnieje"
"Block with name ""%s"" already exists","Taki blok już istnieje : ""%s"""
"Can't retrieve request object","Nie można odczytać z obiektu"
"Can\'t retrieve entity config for entity: %s of model: %s","Can\'t retrieve entity config for entity: %s of model: %s"
"Cannot Delete Email Template","Nie można usunąć szablonu email"
"Could not load default layout file","Nie można wczytać domyślnego layoutu"
"Duplicate Of Template Code","Zduplikuj kod szablonu"
"Empty field id name","Puste pole id dla nazwy"
"Empty main table name","Empty main table name"
"Error in file: ""%s"" - %s","Błąd w pliku: ""%s"" - %s"
"Exception while deleting the object","Nastąpił nieoczekiwany błąd przy próbie usunięcia"
"Exception while saving the object: %s","Błąd podczas zapisu obiektu: %s"
"Invalid base dir type specified: %s","Nieprawidłowa ścieżka bazowa: %s"
"Invalid block name to set child %s: %s","Nieprawidłowa nazwa bloku dla podstrony %s: %s"
"Invalid block type: %s","Nieprawidłowy typ bloku: %s"
"Invalid block: %s","Nieprawidłowy blok: %s"
"Invalid layout update argument, expected Mage_Core_Model_Layout_Element","Invalid layout update argument, expected Mage_Core_Model_Layout_Element"
"Invalid messages storage ""%s"" for layout messages initialization","Invalid messages storage ""%s"" for layout messages initialization"
"Invalid store configuration path: %s","Nieprawidłowa ścieżka konfiguracji sklepu: %s"
"Invalid transactional email code","Nieprawidłowy kod emaila transakcyjnego"
"Invalid websites configuration path: %s","Nieprawidłowa ścieżka konfiguracji witryny: %s"
"Layout update handle not found: %s","Layout update handle not found: %s"
"Model class does not exist: %s","Klasa modelu nie istnieje: %s"
"Resource is not set","Zasób nie został ustalony"
"Select Store","Wybierz sklep"
"Wrong number of arguments for %s","Nieprawidłowa liczba argumentów dla %s"
"You need init translate area","Musisz włączyć obszar tłumaczenia"
