"%d Review(s)","%d recenzja(i)"
"(%s Reviews)","(%s recenzji)"
"(Posted on %s)","(Dodano %s)"
"1 star","1 gwiazdka"
"2 stars","2 gwiazdki"
"3 stars","3 gwiazdki"
"4 stars","4 gwiazdki"
"5 stars","5 gwiazdek"
"Add Items to Cart","Dodaj produkty do koszyka"
"Add to Cart","Dodaj do koszyka"
"Add to Compare","Dodaj do porównania"
"Add to Wishlist","Dodaj do listy życzeń"
"Add Your Review","Dodaj swoją recenzję"
"Availability: In stock. Ships within 24hours.","Dostępność: W magazynie. Wysyłka w 24 godziny robocze."
"Availability: Out of stock.","Dostępność: Brak."
"Average Customer Rating","Średnia ocena klientów"
"Average Customer Rating:","Średnia ocena klientów:"
Back,Powrót
"Back to Main Product Info","Wróć do informacji o produkcie"
"Back to My Reviews","Wróć do listy recenzji"
"Back to Product Reviews","Wróć do listy recenzji"
"Be the first to review this product","Oceń ten produkt jako pierwszy Klient"
"Buy %s for %s","Kup %s za <strong>%s</strong>"
"Customer Reviews","Recenzje klientów"
"How do you rate this product?","Jak oceniasz ten produkt?"
"My Product Reviews","Lista twoich recenzji"
"My Recent Reviews","Ostatnie recenzje"
Nickname,Nick
OR,LUB
"Please select one of each of the ratings above","Wybierz po jednej wartości z powyższych ocen"
"Product Rating:","Ocena produktu:"
"Product Review (submitted on %s):","<strong>Recenzja produktu</strong> (dodana: %s):"
"Product Reviews","Recencje produktu"
Qty,Ilość
Rating:,Ocena:
Review,Recenzja
"Review by %s"," Oceniający: <em>%s</em>"
"Review Details","Szczegóły recenzji"
"Submit Review","Dodaj recenzję"
"Summary of Your Review","Podusumowanie recenzji"
"Unable to post review. Please try again later.","Nie udało się dodać recenzji. Spróbuj ponownie."
"View All Reviews","Zobacz wszystkie recenzje"
"View Details","Zobacz szczegóły"
"Write Your Own Review","Napisz własną recenzję"
"You have submitted no reviews.","Nie napisałeś jeszcze żadnych recenzji."
"You're reviewing: %s","Oceniasz: <span class=""normal-weight"">%s</span>"
"Your Rating:","Twoja ocena:"
"Your Review (submitted on %s):","<strong>Twoja recenzja</strong> (wysłana %s):"
"Your review has been accepted for moderation","Twoja recenzja została przekazana do moderatora"
