"Add Tags","Dodaj tagi"
"Add to Cart","Dodaj do koszyka"
"Add to Wishlist","Dodaj do listy życzeń"
"Add Your Tags:","Dodaj swoje tagi:"
"All Tags","Wszystkie tagi"
"Are you sure you want to delete this tag?","Czy na pewno chcesz usunąć ten tag?"
"Click on a tag to view your corresponding products.","Kliknij na tag aby zobaczyć produkty nim oznaczone."
"Data integrity: No header row found for attribute","Integralność danych: Nie znaleziono nagłówka wiersza dla cechy"
"Delete Tag","Usuń tag"
"Edit Tag","Edytuj tag"
Grid,Siatka
List,Lista
"My Recent Tags","Ostatnie tagi"
"My Tags","Twoje tagi"
Name,Nazwa
"No matches found.","Brak wyników."
"Other people marked this product with these tags:","Inni klienci oznaczyli ten produkt następującymi tagami:"
"Popular Tags","Popularne tagi"
Price,Cena
"Product Tags","Tagi produktów"
"Products tagged with '%s'","Produkty oznaczone tagiem '%s'"
"Products tagged with '%s' (<a href='%s'>RSS</a>)","Produkty oznaczone tagiem '%s' (<a href='%s'>Kanał RSS</a>)"
"Save Tag","Zapisz tag"
"Search Results for '%s' (<a href='%s'>RSS</a>)","Wyniki wyszukiwania dla '%s' (<a href='%s'>Kanał RSS</a>)"
Tag,Tagi
"Tag Name: %s","Nazwa taga: <strong>%s</strong>"
"Tags Aren't Available","Tagi nie są dostępne"
Tags:,Tagi:
"Thank you. Your tag has been accepted for moderation.","Dziękujemy. Twój tag został przesłany do moderatora."
"Unable to find any product tagged with '%s'","Nie znaleziono produktów oznaczonych tagiem '%s'"
"Unable to remove tag. Please, try again later.","Nie udało się usunąć taga. Spróbuj ponownie."
"Unable to save tag(s)","Nie udało się zapisać taga/ów"
"Unable to save your tag. Please, try again later.","Nie można zapisać taga. Spróbuj ponownie."
"Use spaces to separate tags. Use single quotes (') for phrases.","Użyj spacji aby rozdzielić tagi, apostrofów aby wpisać frazy."
"View All Tags","Zobacz wszystkie tagi"
"You have not tagged any products yet.","Nie oznaczyłeś jeszcze żadnych produktów tagami."
"You tag was successfully deleted","Tag został usunięty"
"You tag was successfully saved","Dodany tag został zapisany"
"Your tag(s) have been submitted","Twoje tagi zostały wysłane"
